num_of_people_rated,rating,discount,new_price,old_price,item name
3.7 out of 5(285),3.7 out of 5,44%,"₦ 5,500","₦ 9,800",Men Leather Loafers & Slip-Ons
4.5 out of 5(11),4.5 out of 5,55%,"₦ 22,958","₦ 51,017",ADIDAS Advantage Lifestyle Court Lace Shoes
4.3 out of 5(30),4.3 out of 5,12%,"₦ 25,400","₦ 28,798",Male Formal Shoes Glossy Tassel Brogue Leather Shoes-White
3.9 out of 5(39),3.9 out of 5,54%,"₦ 11,000","₦ 24,000",Men's Sneakers Canvas-BROWN
3.6 out of 5(93),3.6 out of 5,31%,"₦ 6,174","₦ 9,000",Classic Business Men Cooperate Leather Shoes- Black
3.4 out of 5(20),3.4 out of 5,49%,"₦ 4,560","₦ 9,000",Executive Business Men Leather Loafer Shoes- Black
4 out of 5(37),4 out of 5,43%,"₦ 5,999","₦ 10,000 - ₦ 10,500",Solid Kids Shoe- Black
3.9 out of 5(102),3.9 out of 5,31%,"₦ 4,618","₦ 6,664",Men's Waterproof Business Shoes - Black
4.2 out of 5(12),4.2 out of 5,14%,"₦ 12,780","₦ 14,800",Mens Basket Leather Half Shoe - Black
4.3 out of 5(24),4.3 out of 5,24%,"₦ 15,200","₦ 20,118",Men Sandals Handmade Leather Breathable Hiking Shoes Big Size
4 out of 5(11),4 out of 5,40%,"₦ 16,980","₦ 28,500",DEPALLY IRON CHAIN TIE SHINING BLACK  SHOE
3.9 out of 5(41),3.9 out of 5,54%,"₦ 11,000","₦ 24,000",Cooperate Business Men's Leather Luxury Wedding Office Formal Shoes - Black
4.1 out of 5(27),4.1 out of 5,49%,"₦ 17,950","₦ 35,000",Depally Men's Brogue Tie Designers Shoe Black
3.1 out of 5(9),3.1 out of 5,50%,"₦ 15,000","₦ 30,000",Mens Simple Half Shoe - Black
3.8 out of 5(31),3.8 out of 5,44%,"₦ 13,999 - ₦ 15,500","₦ 25,000",Mens Basket Leather Half Shoe - Black
3.7 out of 5(31),3.7 out of 5,29%,"₦ 8,549","₦ 12,000",Stainless Shoe Rack + Steel Pipes For 20 Pairs 5-Layers
4.2 out of 5(90),4.2 out of 5,,"₦ 12,000",,ElegantMen's Half Shoe
4.2 out of 5(64),4.2 out of 5,33%,"₦ 21,299","₦ 32,000",Male Formal Shoes Glossy Tassel Brogue Leather Shoes  - Black
4.5 out of 5(2),4.5 out of 5,53%,"₦ 15,400","₦ 33,000",Vangelo H CONFIRM  ITALIAN LEATHER BLACK  SHOES
4.3 out of 5(44),4.3 out of 5,62%,"₦ 11,500","₦ 30,000",Santiago 2022 Mens Executive Business Office Casual Event Leather Formal Shoes Black
3.4 out of 5(19),3.4 out of 5,9%,"₦ 10,000","₦ 11,000",Mens Basket Leather Half Shoe - Black
4.4 out of 5(101),4.4 out of 5,,"₦ 10,399",,Stainless Shoe Rack + Steel Pipes (6 Layers)
2.3 out of 5(4),2.3 out of 5,11%,"₦ 8,875","₦ 9,999",Casual Suede Men Shoes
4.1 out of 5(89),4.1 out of 5,53%,"₦ 12,499","₦ 26,800",2024 Men's Fashion Dress Shoes - Black
4.4 out of 5(73),4.4 out of 5,4%,"₦ 11,500","₦ 12,000",Mens Casual Half Shoes Party Footwear-Black Half Shoe For Men
4.1 out of 5(61),4.1 out of 5,45%,"₦ 27,200","₦ 49,286",Male Formal Shoes Glossy Tassel Brogue Leather Shoes-Black
4 out of 5(6),4 out of 5,47%,"₦ 16,000","₦ 30,000",Mens  Leather Half Shoe - Black
4.3 out of 5(6),4.3 out of 5,37%,"₦ 18,600","₦ 29,500",DEPALLY CHAIN  IRON TIE DESIGNERS SHOES BLACK
4.2 out of 5(43),4.2 out of 5,58%,"₦ 12,500 - ₦ 12,999","₦ 30,000",Santiago Mens Dress Shoes Italian Leather Shoes Black
3.8 out of 5(26),3.8 out of 5,60%,"₦ 12,000","₦ 30,000",Decent Half Shoe
3.4 out of 5(24),3.4 out of 5,43%,"₦ 16,600 - ₦ 17,900","₦ 26,000 - ₦ 29,000",Black Classic Men's Fashion Shoes
4.4 out of 5(67),4.4 out of 5,58%,"₦ 12,500","₦ 30,000",Santiago New Men Italian Fashion Office  Shoes - Black
3.9 out of 5(19),3.9 out of 5,30%,"₦ 13,520","₦ 19,404",2022 Men's Casual Shoes Breathable Shoes
4.4 out of 5(5),4.4 out of 5,44%,"₦ 15,600","₦ 27,800",Vangelo CONFIRM  ITALIAN LEATHER BLACK  SHOES
3.6 out of 5(5),3.6 out of 5,47%,"₦ 9,500","₦ 18,000",Mens Black Basket Cover Palm
5 out of 5(2),5 out of 5,47%,"₦ 16,000","₦ 30,000",Black Men's Decent Half Shoe
4 out of 5(28),4 out of 5,27%,"₦ 14,900","₦ 20,500",Men Corporate Shoes - Office Shoe - Leather - Black
3.9 out of 5(49),3.9 out of 5,66%,"₦ 10,300","₦ 30,000",Varrati [NEW] Mens Leisure Dress Italian Leather Wedding Shoes Burgundy Red
3.9 out of 5(124),3.9 out of 5,40%,"₦ 18,045","₦ 30,000",Elegant 3 Column Mobile Steel Wardrobe Closet
4.1 out of 5(68),4.1 out of 5,22%,"₦ 12,499 - ₦ 13,800","₦ 16,000",Men's Formal Italian Wedding Brogues Leather Shoes Loafers & Slip-Ons Brown
3.6 out of 5(27),3.6 out of 5,51%,"₦ 15,200","₦ 30,800",CONFIRM  LEATHER DESIGNERS SHOE BLACK
3.5 out of 5(12),3.5 out of 5,50%,"₦ 15,000","₦ 30,000",Casual Shoes Half Slippers  Leather Slippers Classic Mule Slide Outdoor
4.4 out of 5(8),4.4 out of 5,49%,"₦ 17,950","₦ 35,000",Depally Classy Men Brogue Tie Designers Shoe Black
5 out of 5(1),5 out of 5,49%,"₦ 17,700","₦ 34,800",DEPALLY CHAIN  IRON TIE DESIGNERS SHOES BLACK
5 out of 5(1),5 out of 5,17%,"₦ 50,000","₦ 60,000",Clarks Corporate Men's Shoes - Brown
3.5 out of 5(2),3.5 out of 5,42%,"₦ 14,500","₦ 25,000",Unique White Loafers Halfs Shoe
3.8 out of 5(75),3.8 out of 5,40%,"₦ 18,045","₦ 30,000",Classy 3 Column Mobile Steel Wardrobe Closet
4.7 out of 5(3),4.7 out of 5,51%,"₦ 16,980","₦ 34,800",DEPALLY BROGUE TIE SHINING DESIGNERS SHOES BLACK
4.2 out of 5(90),4.2 out of 5,39%,"₦ 17,500 - ₦ 17,590","₦ 28,500",Depally NEW SHINING  STONE UP DESIGNERS SHOE BLACK
3.5 out of 5(11),3.5 out of 5,23%,"₦ 25,780","₦ 33,514",Asadon Halfshoes Mules
4.3 out of 5(3),4.3 out of 5,,"₦ 6,500",,Men's Shoes Black
4.5 out of 5(30),4.5 out of 5,63%,"₦ 11,000 - ₦ 11,500","₦ 30,000",Santiago 2022 Mens Formal Casual Leather Shoes - Black And White
3.9 out of 5(22),3.9 out of 5,35%,"₦ 13,000 - ₦ 15,000","₦ 20,000",Standard Half Shoe
3.8 out of 5(4),3.8 out of 5,47%,"₦ 19,980","₦ 38,000",MASTER EAGLE COOL BIGGER BOYS SHOES BLACK
,,29%,"₦ 32,000","₦ 45,000",Clarks Executive New Clark  Casuasl& Fashionable Shoe
4.4 out of 5(5),4.4 out of 5,41%,"₦ 13,980","₦ 23,800",VANGELO ITALIAN LEATHER BLACK  SHOE
3.8 out of 5(13),3.8 out of 5,49%,"₦ 4,560","₦ 9,000",Executive Business Men Leather Loafer Shoes- Black
3.7 out of 5(28),3.7 out of 5,30%,"₦ 14,000","₦ 20,000",Pleasant Half Shoe
5 out of 5(2),5 out of 5,52%,"₦ 18,300","₦ 38,500",Cubana Confirm Designer Buckle Shoes Black STONE DESIGN
4 out of 5(5),4 out of 5,23%,"₦ 25,780","₦ 33,514",Emilio Half Shoes Mules - Black
,,61%,"₦ 24,845","₦ 63,779",Shoes Men Spring Business Dress Casual Shoes British Youth Wedding Shoes Best Man Men Shoes Trend England
4.5 out of 5(2),4.5 out of 5,,"₦ 54,500 - ₦ 55,500",,Clarks Original Clarks  Work- Shoe
4 out of 5(1),4 out of 5,8%,"₦ 55,000","₦ 60,000",Clarks Corporate Men's Shoes - Black
